latency_timer_ms,trial,roundtrip_ms,polls
8,234,7.9370,1
8,235,8.0148,1
8,236,8.0183,1
8,237,8.0343,1
8,238,8.0497,1
8,239,8.0180,1
8,240,7.9606,1
8,241,8.0041,1
8,242,8.0728,1
8,243,7.8685,1
8,244,8.0350,1
8,245,8.0988,1
8,246,8.0032,1
8,247,7.9740,1
8,248,8.0439,1
8,249,7.9734,1
8,250,7.8937,1
8,251,8.0019,1
8,252,7.9233,1
8,253,7.9748,1
8,254,7.9354,1
8,255,7.9868,1
8,256,7.9814,1
8,257,7.9691,1
8,258,8.0020,1
8,259,7.9498,1
8,260,8.0354,1
8,261,8.0835,1
8,262,7.9670,1
8,263,7.9977,1
8,264,7.9988,1
8,265,7.9398,1
8,266,8.0041,1
8,267,7.9664,1
8,268,7.9784,1
8,269,8.0604,1
8,270,7.9764,1
8,271,7.9499,1
8,272,7.9499,1
8,273,8.0174,1
8,274,7.9536,1
8,275,8.0082,1
8,276,7.9789,1
8,277,7.9821,1
8,278,8.0017,1
8,279,7.9407,1
8,280,8.0036,1
8,281,7.9275,1
8,282,7.9642,1
8,283,8.0237,1
8,284,7.9687,1
8,285,7.9902,1
8,286,7.9869,1
8,287,8.0880,1
8,288,7.9879,1
8,289,8.0438,1
8,290,7.9947,1
8,291,8.0002,1
8,292,7.9943,1
8,293,7.9735,1
8,294,7.9698,1
8,295,7.9897,1
8,296,7.9184,1
8,297,7.9852,1
8,298,8.0013,1
8,299,7.9850,1
