condition,policy,priority,seed,trial,target_width_ms,host_width_ms,measured_width_ms,residual_ms,rise_s,fall_s
rt,SCHED_FIFO,50,20260808,100,37.2674,37.2904,37.2663,0.0010,13.042660,13.079927
rt,SCHED_FIFO,50,20260808,101,35.6317,35.6575,35.6311,0.0016,13.148042,13.183673
rt,SCHED_FIFO,50,20260808,102,26.6368,26.6623,26.6266,-0.0077,13.275799,13.302426
rt,SCHED_FIFO,50,20260808,103,13.3308,13.3520,13.3094,-0.0183,13.369553,13.382862
rt,SCHED_FIFO,50,20260808,104,13.0788,13.1014,13.0718,-0.0039,13.433958,13.447029
rt,SCHED_FIFO,50,20260808,105,49.1020,49.1302,49.1045,0.0042,13.532124,13.581229
rt,SCHED_FIFO,50,20260808,106,5.7318,5.7516,5.7290,0.0006,13.619338,13.625067
rt,SCHED_FIFO,50,20260808,107,20.3284,20.3522,20.3804,0.0548,13.719158,13.739538
rt,SCHED_FIFO,50,20260808,108,20.6942,20.7072,20.6727,-0.0187,13.839621,13.860294
rt,SCHED_FIFO,50,20260808,109,36.9428,36.9611,36.9381,-0.0026,13.895380,13.932318
rt,SCHED_FIFO,50,20260808,110,41.6102,41.6233,41.5870,-0.0212,14.001426,14.043013
rt,SCHED_FIFO,50,20260808,111,40.2388,40.2655,40.2516,0.0148,14.079111,14.119363
rt,SCHED_FIFO,50,20260808,112,20.9680,20.9732,20.9655,0.0003,14.140561,14.161526
rt,SCHED_FIFO,50,20260808,113,34.5855,34.6120,34.5920,0.0087,14.175567,14.210159
rt,SCHED_FIFO,50,20260808,114,33.6797,33.7033,33.6717,-0.0057,14.243255,14.276927
rt,SCHED_FIFO,50,20260808,115,5.7779,5.7864,5.7667,-0.0078,14.314028,14.319795
rt,SCHED_FIFO,50,20260808,116,31.2096,31.2342,31.2027,-0.0045,14.389875,14.421078
rt,SCHED_FIFO,50,20260808,117,43.1157,43.1291,43.1123,-0.0015,14.432178,14.475291
rt,SCHED_FIFO,50,20260808,118,15.2622,15.2843,15.2684,0.0092,14.574406,14.589674
rt,SCHED_FIFO,50,20260808,119,34.3469,34.3731,34.3611,0.0164,14.643803,14.678164
rt,SCHED_FIFO,50,20260808,120,20.6264,20.6417,20.6238,0.0002,14.760278,14.780902
rt,SCHED_FIFO,50,20260808,121,37.2971,37.3239,37.2830,-0.0120,14.853010,14.890293
rt,SCHED_FIFO,50,20260808,122,29.4873,29.5109,29.4766,-0.0083,14.941412,14.970888
rt,SCHED_FIFO,50,20260808,123,15.4408,15.4646,15.4279,-0.0099,15.011978,15.027405
rt,SCHED_FIFO,50,20260808,124,38.9886,38.9995,38.9755,-0.0110,15.040642,15.079618
rt,SCHED_FIFO,50,20260808,125,18.3119,18.3318,18.3171,0.0081,15.107699,15.126016
rt,SCHED_FIFO,50,20260808,126,28.3108,28.3264,28.3069,-0.0014,15.216101,15.244408
rt,SCHED_FIFO,50,20260808,127,36.9680,36.9888,36.9975,0.0316,15.315518,15.352515
rt,SCHED_FIFO,50,20260808,128,15.4474,15.4686,15.4460,0.0016,15.367553,15.382999
rt,SCHED_FIFO,50,20260808,129,28.6360,28.6595,28.6325,-0.0011,15.399151,15.427783
rt,SCHED_FIFO,50,20260808,130,29.0540,29.0613,29.0304,-0.0211,15.461878,15.490908
rt,SCHED_FIFO,50,20260808,131,7.0346,7.0543,7.0148,-0.0164,15.565190,15.572205
rt,SCHED_FIFO,50,20260808,132,27.9469,27.9578,27.9298,-0.0146,15.621327,15.649256
rt,SCHED_FIFO,50,20260808,133,41.6711,41.6984,41.6890,0.0198,15.672317,15.714006
rt,SCHED_FIFO,50,20260808,134,10.4320,10.4524,10.4397,0.0109,15.734066,15.744506
rt,SCHED_FIFO,50,20260808,135,20.4351,20.4449,20.4243,-0.0080,15.797585,15.818010
rt,SCHED_FIFO,50,20260808,136,10.5637,10.5852,10.5587,-0.0018,15.910164,15.920723
rt,SCHED_FIFO,50,20260808,137,42.1920,42.2224,42.1813,-0.0088,16.012844,16.055025
rt,SCHED_FIFO,50,20260808,138,36.5418,36.5679,36.5263,-0.0133,16.111245,16.147772
rt,SCHED_FIFO,50,20260808,139,30.9943,31.0197,30.9865,-0.0054,16.230895,16.261881
rt,SCHED_FIFO,50,20260808,140,34.9074,34.9375,34.9201,0.0149,16.354015,16.388936
rt,SCHED_FIFO,50,20260808,141,7.0952,7.1148,7.1004,0.0085,16.407016,16.414117
rt,SCHED_FIFO,50,20260808,142,11.1432,11.1662,11.1283,-0.0117,16.446202,16.457330
rt,SCHED_FIFO,50,20260808,143,47.7835,47.8117,47.7391,-0.0427,16.544499,16.592238
rt,SCHED_FIFO,50,20260808,144,36.7244,36.7498,36.7113,-0.0109,16.665478,16.702190
rt,SCHED_FIFO,50,20260808,145,11.2505,11.2608,11.2422,-0.0052,16.729289,16.740532
rt,SCHED_FIFO,50,20260808,146,45.8574,45.8832,45.8600,0.0044,16.761622,16.807482
rt,SCHED_FIFO,50,20260808,147,9.7808,9.7844,9.7523,-0.0253,16.883558,16.893310
