condition,policy,priority,seed,trial,target_width_ms,host_width_ms,measured_width_ms,residual_ms,rise_s,fall_s
load,SCHED_OTHER,0,20260808,80,31.2134,32.7321,32.6958,0.7207,11.559175,11.591870
load,SCHED_OTHER,0,20260808,81,39.0071,39.0332,39.0001,-0.7773,11.662105,11.701105
load,SCHED_OTHER,0,20260808,82,18.6734,20.0384,19.9998,0.5784,11.780331,11.800331
load,SCHED_OTHER,0,20260808,83,14.3325,14.3456,14.3148,-0.7609,11.865531,11.879845
load,SCHED_OTHER,0,20260808,84,17.1471,17.1539,17.0802,-0.8132,11.914079,11.931159
load,SCHED_OTHER,0,20260808,85,24.9913,24.9992,24.9786,-0.7676,11.965340,11.990319
load,SCHED_OTHER,0,20260808,86,24.3493,24.3782,24.3464,-0.7571,12.031478,12.055825
load,SCHED_OTHER,0,20260808,87,27.5070,28.9559,28.9336,0.6689,12.079948,12.108881
load,SCHED_OTHER,0,20260808,88,46.2917,47.8462,47.8098,0.7398,12.165063,12.212872
load,SCHED_OTHER,0,20260808,89,20.1499,20.1555,20.1362,-0.7633,12.306087,12.326223
load,SCHED_OTHER,0,20260808,90,42.4137,42.4529,42.4172,-0.7705,12.357400,12.399817
load,SCHED_OTHER,0,20260808,91,34.0063,34.0178,34.0076,-0.7635,12.480058,12.514066
load,SCHED_OTHER,0,20260808,92,36.1894,37.6569,37.6274,0.6708,12.573246,12.610873
load,SCHED_OTHER,0,20260808,93,39.0799,39.1071,39.0767,-0.7735,12.680088,12.719164
load,SCHED_OTHER,0,20260808,94,44.5899,46.5251,46.4884,1.1220,12.776356,12.822844
load,SCHED_OTHER,0,20260808,95,6.9783,6.9986,7.0053,-0.7082,12.865052,12.872058
load,SCHED_OTHER,0,20260808,96,11.9671,13.6970,13.6726,0.9649,12.910199,12.923871
load,SCHED_OTHER,0,20260808,97,21.5287,21.5365,21.4977,-0.7821,13.017109,13.038607
load,SCHED_OTHER,0,20260808,98,40.4189,43.1379,43.1032,1.9124,13.071783,13.114886
load,SCHED_OTHER,0,20260808,99,8.5092,10.7054,10.6961,1.4500,13.149158,13.159854
load,SCHED_OTHER,0,20260808,100,37.2674,37.8476,37.7975,-0.2383,13.179052,13.216850
load,SCHED_OTHER,0,20260808,101,35.6317,35.6564,35.6260,-0.7722,13.285052,13.320678
load,SCHED_OTHER,0,20260808,102,26.6368,26.6644,26.6363,-0.7572,13.412896,13.439533
