condition,policy,priority,seed,trial,target_width_ms,host_width_ms,measured_width_ms,residual_ms,rise_s,fall_s
idle,SCHED_OTHER,0,20260808,96,11.9671,11.9697,11.9438,-0.0228,12.987546,12.999490
idle,SCHED_OTHER,0,20260808,97,21.5287,21.5316,21.5226,-0.0042,13.092655,13.114178
idle,SCHED_OTHER,0,20260808,98,40.4189,40.4212,40.3929,-0.0213,13.147323,13.187715
idle,SCHED_OTHER,0,20260808,99,8.5092,8.5116,8.5080,-0.0012,13.221973,13.230481
idle,SCHED_OTHER,0,20260808,100,37.2674,37.2861,37.2882,0.0250,13.249603,13.286891
idle,SCHED_OTHER,0,20260808,101,35.6317,35.6354,35.6242,-0.0035,13.355034,13.390658
idle,SCHED_OTHER,0,20260808,102,26.6368,26.6562,26.6249,-0.0092,13.482857,13.509482
idle,SCHED_OTHER,0,20260808,103,13.3308,13.3333,13.3286,-0.0015,13.576622,13.589950
idle,SCHED_OTHER,0,20260808,104,13.0788,13.0821,13.0671,-0.0110,13.641083,13.654150
idle,SCHED_OTHER,0,20260808,105,49.1020,49.1218,49.0350,-0.0611,13.739392,13.788427
idle,SCHED_OTHER,0,20260808,106,5.7318,5.7368,5.7286,-0.0036,13.826546,13.832275
idle,SCHED_OTHER,0,20260808,107,20.3284,20.3308,20.3087,-0.0180,13.926466,13.946774
idle,SCHED_OTHER,0,20260808,108,20.6942,20.6967,20.6809,-0.0115,14.046935,14.067616
idle,SCHED_OTHER,0,20260808,109,36.9428,36.9453,36.9115,-0.0271,14.102761,14.139672
idle,SCHED_OTHER,0,20260808,110,41.6102,41.6167,41.6042,-0.0012,14.208826,14.250431
idle,SCHED_OTHER,0,20260808,111,40.2388,40.2565,40.2507,0.0165,14.286567,14.326817
idle,SCHED_OTHER,0,20260808,112,20.9680,20.9874,20.9834,0.0172,14.347983,14.368966
idle,SCHED_OTHER,0,20260808,113,34.5855,34.5879,34.5716,-0.0101,14.383094,14.417666
idle,SCHED_OTHER,0,20260808,114,33.6797,33.6833,33.6891,0.0131,14.450778,14.484468
idle,SCHED_OTHER,0,20260808,115,5.7779,5.7804,5.7517,-0.0265,14.521639,14.527390
idle,SCHED_OTHER,0,20260808,116,31.2096,31.2290,31.2166,0.0103,14.597546,14.628763
idle,SCHED_OTHER,0,20260808,117,43.1157,43.1192,43.1086,-0.0020,14.639855,14.682964
idle,SCHED_OTHER,0,20260808,118,15.2622,15.2892,15.2681,0.0069,14.781251,14.796519
idle,SCHED_OTHER,0,20260808,119,34.3469,34.3514,34.3279,-0.0152,14.850673,14.885001
idle,SCHED_OTHER,0,20260808,120,20.6264,20.6287,20.6061,-0.0185,14.967177,14.987783
idle,SCHED_OTHER,0,20260808,121,37.2971,37.3045,37.2939,0.0011,15.059899,15.097193
