condition,device,policy,priority,requested_ms,trial,host_width_ms,scope_width_ms
idle,ttlbox,SCHED_OTHER,0,20.0000,25,nan,19.1600
idle,ttlbox,SCHED_OTHER,0,20.0000,26,nan,20.2200
idle,ttlbox,SCHED_OTHER,0,20.0000,27,nan,20.4700
idle,ttlbox,SCHED_OTHER,0,20.0000,28,nan,19.6300
idle,ttlbox,SCHED_OTHER,0,20.0000,29,nan,18.5000
idle,ttlbox,SCHED_OTHER,0,20.0000,30,nan,20.0500
idle,ttlbox,SCHED_OTHER,0,20.0000,31,nan,18.6100
idle,ttlbox,SCHED_OTHER,0,20.0000,32,nan,19.6200
idle,ttlbox,SCHED_OTHER,0,20.0000,33,nan,18.7500
idle,ttlbox,SCHED_OTHER,0,20.0000,34,nan,19.2600
idle,ttlbox,SCHED_OTHER,0,20.0000,35,nan,20.3500
idle,ttlbox,SCHED_OTHER,0,20.0000,36,nan,20.1400
idle,ttlbox,SCHED_OTHER,0,20.0000,37,nan,19.7500
idle,ttlbox,SCHED_OTHER,0,20.0000,38,nan,18.9400
idle,ttlbox,SCHED_OTHER,0,20.0000,39,nan,19.8900
idle,ttlbox,SCHED_OTHER,0,20.0000,40,nan,18.9000
idle,ttlbox,SCHED_OTHER,0,20.0000,41,nan,19.1900
idle,ttlbox,SCHED_OTHER,0,20.0000,42,nan,19.7200
idle,ttlbox,SCHED_OTHER,0,20.0000,43,nan,18.5900
idle,ttlbox,SCHED_OTHER,0,20.0000,44,nan,19.1900
idle,ttlbox,SCHED_OTHER,0,20.0000,45,nan,19.6700
idle,ttlbox,SCHED_OTHER,0,20.0000,46,nan,19.4200
idle,ttlbox,SCHED_OTHER,0,20.0000,47,nan,20.4900
idle,ttlbox,SCHED_OTHER,0,20.0000,48,nan,18.7200
idle,ttlbox,SCHED_OTHER,0,20.0000,49,nan,19.9200
idle,ttlbox,SCHED_OTHER,0,50.0000,0,nan,49.4800
idle,ttlbox,SCHED_OTHER,0,50.0000,1,nan,48.5500
idle,ttlbox,SCHED_OTHER,0,50.0000,2,nan,49.3700
idle,ttlbox,SCHED_OTHER,0,50.0000,3,nan,49.7900
idle,ttlbox,SCHED_OTHER,0,50.0000,4,nan,49.3700
idle,ttlbox,SCHED_OTHER,0,50.0000,5,nan,49.6300
idle,ttlbox,SCHED_OTHER,0,50.0000,6,nan,49.6100
idle,ttlbox,SCHED_OTHER,0,50.0000,7,nan,49.5200
idle,ttlbox,SCHED_OTHER,0,50.0000,8,nan,48.2700
idle,ttlbox,SCHED_OTHER,0,50.0000,9,nan,49.7200
idle,ttlbox,SCHED_OTHER,0,50.0000,10,nan,49.9100
idle,ttlbox,SCHED_OTHER,0,50.0000,11,nan,49.8100
idle,ttlbox,SCHED_OTHER,0,50.0000,12,nan,49.6300
idle,ttlbox,SCHED_OTHER,0,50.0000,13,nan,49.8000
idle,ttlbox,SCHED_OTHER,0,50.0000,14,nan,49.0100
idle,ttlbox,SCHED_OTHER,0,50.0000,15,nan,49.7200
