condition,device,policy,priority,requested_ms,trial,host_width_ms,scope_width_ms
rt,ttlbox,SCHED_FIFO,50,50.0000,14,nan,50.1800
rt,ttlbox,SCHED_FIFO,50,50.0000,15,nan,49.6800
rt,ttlbox,SCHED_FIFO,50,50.0000,16,nan,49.7000
rt,ttlbox,SCHED_FIFO,50,50.0000,17,nan,50.1500
rt,ttlbox,SCHED_FIFO,50,50.0000,18,nan,48.3500
rt,ttlbox,SCHED_FIFO,50,50.0000,19,nan,50.2000
rt,ttlbox,SCHED_FIFO,50,50.0000,20,nan,49.8100
rt,ttlbox,SCHED_FIFO,50,50.0000,21,nan,49.7700
rt,ttlbox,SCHED_FIFO,50,50.0000,22,nan,49.9000
rt,ttlbox,SCHED_FIFO,50,50.0000,23,nan,49.3100
rt,ttlbox,SCHED_FIFO,50,50.0000,24,nan,49.3400
rt,ttlbox,SCHED_FIFO,50,50.0000,25,nan,49.5500
rt,ttlbox,SCHED_FIFO,50,50.0000,26,nan,50.2200
rt,ttlbox,SCHED_FIFO,50,50.0000,27,nan,49.1100
rt,ttlbox,SCHED_FIFO,50,50.0000,28,nan,48.7600
rt,ttlbox,SCHED_FIFO,50,50.0000,29,nan,50.2100
rt,ttlbox,SCHED_FIFO,50,50.0000,30,nan,49.4500
rt,ttlbox,SCHED_FIFO,50,50.0000,31,nan,48.4300
rt,ttlbox,SCHED_FIFO,50,50.0000,32,nan,49.7800
rt,ttlbox,SCHED_FIFO,50,50.0000,33,nan,49.7700
rt,ttlbox,SCHED_FIFO,50,50.0000,34,nan,49.9100
rt,ttlbox,SCHED_FIFO,50,50.0000,35,nan,49.9300
rt,ttlbox,SCHED_FIFO,50,50.0000,36,nan,49.7800
rt,ttlbox,SCHED_FIFO,50,50.0000,37,nan,49.2300
rt,ttlbox,SCHED_FIFO,50,50.0000,38,nan,49.9600
rt,ttlbox,SCHED_FIFO,50,50.0000,39,nan,49.7000
rt,ttlbox,SCHED_FIFO,50,50.0000,40,nan,49.4500
rt,ttlbox,SCHED_FIFO,50,50.0000,41,nan,48.3000
rt,ttlbox,SCHED_FIFO,50,50.0000,42,nan,50.0900
rt,ttlbox,SCHED_FIFO,50,50.0000,43,nan,49.8200
rt,ttlbox,SCHED_FIFO,50,50.0000,44,nan,50.1800
rt,ttlbox,SCHED_FIFO,50,50.0000,45,nan,49.7200
rt,ttlbox,SCHED_FIFO,50,50.0000,46,nan,49.8200
rt,ttlbox,SCHED_FIFO,50,50.0000,47,nan,49.8100
rt,ttlbox,SCHED_FIFO,50,50.0000,48,nan,49.3600
rt,ttlbox,SCHED_FIFO,50,50.0000,49,nan,49.7400
