condition,policy,priority,arm,delta_us
idle,SCHED_OTHER,0,dlp-first,38.1809
idle,SCHED_OTHER,0,dlp-first,43.4644
idle,SCHED_OTHER,0,dlp-first,33.8575
idle,SCHED_OTHER,0,dlp-first,29.8740
idle,SCHED_OTHER,0,dlp-first,33.0232
idle,SCHED_OTHER,0,dlp-first,40.8583
idle,SCHED_OTHER,0,dlp-first,44.5499
idle,SCHED_OTHER,0,dlp-first,35.7451
idle,SCHED_OTHER,0,dlp-first,40.3153
idle,SCHED_OTHER,0,dlp-first,58.3112
idle,SCHED_OTHER,0,dlp-first,29.8134
idle,SCHED_OTHER,0,dlp-first,46.2471
idle,SCHED_OTHER,0,dlp-first,41.8005
idle,SCHED_OTHER,0,dlp-first,36.3797
idle,SCHED_OTHER,0,dlp-first,36.6082
idle,SCHED_OTHER,0,dlp-first,32.9700
idle,SCHED_OTHER,0,dlp-first,39.2065
idle,SCHED_OTHER,0,dlp-first,25.4692
idle,SCHED_OTHER,0,dlp-first,57.8623
idle,SCHED_OTHER,0,dlp-first,40.9496
idle,SCHED_OTHER,0,dlp-first,32.4521
idle,SCHED_OTHER,0,dlp-first,26.6662
idle,SCHED_OTHER,0,dlp-first,44.3383
idle,SCHED_OTHER,0,dlp-first,45.2868
idle,SCHED_OTHER,0,dlp-first,39.1550
idle,SCHED_OTHER,0,dlp-first,38.6095
idle,SCHED_OTHER,0,dlp-first,15.7822
idle,SCHED_OTHER,0,dlp-first,32.0270
idle,SCHED_OTHER,0,dlp-first,35.7772
idle,SCHED_OTHER,0,dlp-first,34.2929
idle,SCHED_OTHER,0,dlp-first,32.6229
idle,SCHED_OTHER,0,dlp-first,40.1007
idle,SCHED_OTHER,0,dlp-first,34.4705
idle,SCHED_OTHER,0,dlp-first,55.5402
idle,SCHED_OTHER,0,dlp-first,52.2233
idle,SCHED_OTHER,0,dlp-first,36.1178
idle,SCHED_OTHER,0,dlp-first,31.4549
idle,SCHED_OTHER,0,dlp-first,42.9568
idle,SCHED_OTHER,0,dlp-first,42.0837
idle,SCHED_OTHER,0,dlp-first,31.6403
idle,SCHED_OTHER,0,dlp-first,29.2536
idle,SCHED_OTHER,0,dlp-first,41.6399
idle,SCHED_OTHER,0,dlp-first,94.7945
idle,SCHED_OTHER,0,dlp-first,53.4597
idle,SCHED_OTHER,0,dlp-first,48.8145
idle,SCHED_OTHER,0,dlp-first,34.1503
idle,SCHED_OTHER,0,dlp-first,37.7714
idle,SCHED_OTHER,0,dlp-first,52.7497
idle,SCHED_OTHER,0,dlp-first,38.1082
idle,SCHED_OTHER,0,dlp-first,40.8140
idle,SCHED_OTHER,0,dlp-first,29.2133
idle,SCHED_OTHER,0,dlp-first,26.8629
idle,SCHED_OTHER,0,dlp-first,25.5485
idle,SCHED_OTHER,0,dlp-first,27.0249
idle,SCHED_OTHER,0,dlp-first,47.3953
idle,SCHED_OTHER,0,dlp-first,52.9586
idle,SCHED_OTHER,0,dlp-first,32.2258
idle,SCHED_OTHER,0,dlp-first,41.1375
idle,SCHED_OTHER,0,dlp-first,34.2056
idle,SCHED_OTHER,0,dlp-first,40.1136
idle,SCHED_OTHER,0,dlp-first,34.7961
idle,SCHED_OTHER,0,dlp-first,32.5764
idle,SCHED_OTHER,0,dlp-first,36.6101
idle,SCHED_OTHER,0,dlp-first,33.3896
