arm,policy,priority,trial,first_ch,second_ch,delta_us
dlp-first,SCHED_OTHER,0,74,2,1,52.4200
dlp-first,SCHED_OTHER,0,75,2,1,53.7200
dlp-first,SCHED_OTHER,0,76,2,1,48.1000
dlp-first,SCHED_OTHER,0,77,2,1,60.3300
dlp-first,SCHED_OTHER,0,78,2,1,49.4300
dlp-first,SCHED_OTHER,0,79,2,1,40.0700
dlp-first,SCHED_OTHER,0,80,2,1,49.2100
dlp-first,SCHED_OTHER,0,81,2,1,49.8600
dlp-first,SCHED_OTHER,0,82,2,1,48.3200
dlp-first,SCHED_OTHER,0,83,2,1,56.4300
dlp-first,SCHED_OTHER,0,84,2,1,58.8200
dlp-first,SCHED_OTHER,0,85,2,1,52.0600
dlp-first,SCHED_OTHER,0,86,2,1,72.2700
dlp-first,SCHED_OTHER,0,87,2,1,54.6000
dlp-first,SCHED_OTHER,0,88,2,1,57.9100
dlp-first,SCHED_OTHER,0,89,2,1,51.9000
dlp-first,SCHED_OTHER,0,90,2,1,44.5500
dlp-first,SCHED_OTHER,0,91,2,1,64.7600
dlp-first,SCHED_OTHER,0,92,2,1,69.0700
dlp-first,SCHED_OTHER,0,93,2,1,47.8000
dlp-first,SCHED_OTHER,0,94,2,1,57.7100
dlp-first,SCHED_OTHER,0,95,2,1,50.5100
dlp-first,SCHED_OTHER,0,96,2,1,53.7100
dlp-first,SCHED_OTHER,0,97,2,1,50.3000
dlp-first,SCHED_OTHER,0,98,2,1,66.3600
dlp-first,SCHED_OTHER,0,99,2,1,103.6400
