condition,policy,priority,arm,delta_us
rt,SCHED_FIFO,50,dlp-first,42.8596
rt,SCHED_FIFO,50,dlp-first,43.5744
rt,SCHED_FIFO,50,dlp-first,48.1544
rt,SCHED_FIFO,50,dlp-first,41.4771
rt,SCHED_FIFO,50,dlp-first,41.0259
rt,SCHED_FIFO,50,dlp-first,43.9685
rt,SCHED_FIFO,50,dlp-first,45.1845
rt,SCHED_FIFO,50,dlp-first,49.5492
rt,SCHED_FIFO,50,dlp-first,55.9157
rt,SCHED_FIFO,50,dlp-first,31.4518
rt,SCHED_FIFO,50,dlp-first,51.8436
rt,SCHED_FIFO,50,dlp-first,45.1413
rt,SCHED_FIFO,50,dlp-first,47.9296
rt,SCHED_FIFO,50,dlp-first,49.2866
rt,SCHED_FIFO,50,dlp-first,43.6946
rt,SCHED_FIFO,50,dlp-first,32.9895
rt,SCHED_FIFO,50,dlp-first,60.5849
rt,SCHED_FIFO,50,dlp-first,52.3066
rt,SCHED_FIFO,50,dlp-first,37.5032
rt,SCHED_FIFO,50,dlp-first,55.8190
rt,SCHED_FIFO,50,dlp-first,52.1865
rt,SCHED_FIFO,50,dlp-first,46.0449
rt,SCHED_FIFO,50,dlp-first,25.6693
rt,SCHED_FIFO,50,dlp-first,45.2522
rt,SCHED_FIFO,50,dlp-first,48.8654
rt,SCHED_FIFO,50,dlp-first,26.9757
rt,SCHED_FIFO,50,dlp-first,26.8319
rt,SCHED_FIFO,50,dlp-first,56.1393
rt,SCHED_FIFO,50,dlp-first,42.4772
rt,SCHED_FIFO,50,dlp-first,45.4577
rt,SCHED_FIFO,50,dlp-first,45.6355
rt,SCHED_FIFO,50,dlp-first,39.6359
rt,SCHED_FIFO,50,dlp-first,62.0611
rt,SCHED_FIFO,50,dlp-first,44.9403
rt,SCHED_FIFO,50,dlp-first,44.8556
rt,SCHED_FIFO,50,dlp-first,26.6472
rt,SCHED_FIFO,50,dlp-first,46.6746
rt,SCHED_FIFO,50,dlp-first,56.1298
rt,SCHED_FIFO,50,dlp-first,53.5822
rt,SCHED_FIFO,50,dlp-first,47.9794
rt,SCHED_FIFO,50,dlp-first,40.8691
rt,SCHED_FIFO,50,dlp-first,55.0810
rt,SCHED_FIFO,50,dlp-first,55.3525
rt,SCHED_FIFO,50,dlp-first,50.8968
rt,SCHED_FIFO,50,dlp-first,54.9713
rt,SCHED_FIFO,50,dlp-first,28.6931
rt,SCHED_FIFO,50,dlp-first,66.6649
rt,SCHED_FIFO,50,dlp-first,58.0760
rt,SCHED_FIFO,50,dlp-first,50.2654
rt,SCHED_FIFO,50,dlp-first,62.0401
rt,SCHED_FIFO,50,dlp-first,47.0048
rt,SCHED_FIFO,50,dlp-first,41.5857
rt,SCHED_FIFO,50,dlp-first,44.7357
rt,SCHED_FIFO,50,dlp-first,40.9021
rt,SCHED_FIFO,50,dlp-first,59.1760
rt,SCHED_FIFO,50,dlp-first,40.6189
rt,SCHED_FIFO,50,dlp-first,42.6401
rt,SCHED_FIFO,50,dlp-first,46.2816
rt,SCHED_FIFO,50,dlp-first,56.3959
rt,SCHED_FIFO,50,dlp-first,38.8004
rt,SCHED_FIFO,50,dlp-first,23.3036
rt,SCHED_FIFO,50,dlp-first,22.3375
rt,SCHED_FIFO,50,dlp-first,42.5828
rt,SCHED_FIFO,50,dlp-first,49.0600
rt,SCHED_FIFO,50,dlp-first,45.5759
rt,SCHED_FIFO,50,dlp-first,23.9993
rt,SCHED_FIFO,50,dlp-first,52.0188
rt,SCHED_FIFO,50,dlp-first,22.9580
rt,SCHED_FIFO,50,dlp-first,59.1462
rt,SCHED_FIFO,50,dlp-first,19.3557
rt,SCHED_FIFO,50,dlp-first,39.9543
rt,SCHED_FIFO,50,dlp-first,42.2092
rt,SCHED_FIFO,50,dlp-first,43.5268
rt,SCHED_FIFO,50,dlp-first,38.4948
rt,SCHED_FIFO,50,dlp-first,42.9472
rt,SCHED_FIFO,50,dlp-first,37.2357
rt,SCHED_FIFO,50,dlp-first,110.9607
rt,SCHED_FIFO,50,dlp-first,43.6921
